@relation './imbalanced dataset/cod-rna.libsvm-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute class {-1,1}

@data
{0 -756,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.233333,6 0.233333,7 0.25,8 1}
{0 -749,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -642,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.25,6 0.225,7 0.266667,8 1}
{0 -781,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.2,6 0.225,7 0.266667,8 1}
{0 -827,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.173554,6 0.231405,7 0.280992,8 1}
{0 -746,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.2,6 0.225,7 0.266667,8 1}
{0 -726,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.208333,6 0.216667,7 0.266667,8 1}
{0 -819,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.208333,6 0.208333,7 0.266667,8 1}
{0 -781,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.225,6 0.216667,7 0.275,8 1}
{0 -651,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.239669,6 0.239669,7 0.239669,8 1}
{0 -765,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.233333,6 0.2,7 0.266667,8 1}
{0 -723,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.25,6 0.225,7 0.25,8 1}
{0 -807,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.241667,6 0.208333,7 0.25,8 1}
{0 -816,1 118,2 0.226891,3 0.226891,4 0.260504,5 0.194915,6 0.186441,7 0.305085,8 1}
{0 -793,1 118,2 0.226891,3 0.226891,4 0.260504,5 0.20339,6 0.211864,7 0.271186,8 1}
{0 -788,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.216667,6 0.225,7 0.258333,8 1}
{0 -817,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.225,6 0.225,7 0.258333,8 1}
{0 -761,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.275,6 0.216667,7 0.241667,8 1}
{0 -798,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.193277,6 0.176471,7 0.302521,8 1}
{0 -972,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.169355,6 0.120968,7 0.346774,8 1}
{0 -660,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.272727,6 0.231405,7 0.239669,8 1}
{0 -642,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.239669,6 0.231405,7 0.239669,8 1}
{0 -875,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.201681,6 0.201681,7 0.285714,8 1}
{0 -733,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -783,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.220339,6 0.20339,7 0.288136,8 1}
{0 -750,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.245763,6 0.20339,7 0.254237,8 1}
{0 -743,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.228814,6 0.194915,7 0.288136,8 1}
{0 -768,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -815,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.218487,6 0.176471,7 0.310924,8 1}
{0 -830,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.218487,6 0.168067,7 0.294118,8 1}
{0 -748,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.237288,6 0.228814,7 0.254237,8 1}
{0 -762,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.228814,6 0.211864,7 0.262712,8 1}
{0 -709,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.252101,6 0.243697,7 0.243697,8 1}
{0 -761,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.225,6 0.216667,7 0.266667,8 1}
{0 -810,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.191667,6 0.208333,7 0.291667,8 1}
{0 -708,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.235294,6 0.252101,7 0.243697,8 1}
{0 -730,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.198347,6 0.272727,7 0.22314,8 1}
{0 -696,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.210084,6 0.210084,7 0.277311,8 1}
{0 -746,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -736,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -745,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.225,6 0.191667,7 0.291667,8 1}
{0 -756,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.233333,6 0.233333,7 0.25,8 1}
{0 -749,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -642,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.25,6 0.225,7 0.266667,8 1}
{0 -781,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.2,6 0.225,7 0.266667,8 1}
{0 -827,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.173554,6 0.231405,7 0.280992,8 1}
{0 -746,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.2,6 0.225,7 0.266667,8 1}
{0 -726,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.208333,6 0.216667,7 0.266667,8 1}
{0 -819,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.208333,6 0.208333,7 0.266667,8 1}
{0 -781,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.225,6 0.216667,7 0.275,8 1}
{0 -646,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.239669,6 0.239669,7 0.239669,8 1}
{0 -765,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.233333,6 0.2,7 0.266667,8 1}
{0 -723,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.25,6 0.225,7 0.25,8 1}
{0 -807,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.241667,6 0.208333,7 0.25,8 1}
{0 -816,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.194915,6 0.186441,7 0.305085,8 1}
{0 -793,1 118,2 0.235294,3 0.235294,4 0.252101,5 0.20339,6 0.211864,7 0.271186,8 1}
{0 -788,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.216667,6 0.225,7 0.258333,8 1}
{0 -817,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.225,6 0.225,7 0.258333,8 1}
{0 -761,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.275,6 0.216667,7 0.241667,8 1}
{0 -798,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.193277,6 0.176471,7 0.302521,8 1}
{0 -968,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.169355,6 0.120968,7 0.346774,8 1}
{0 -688,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.247934,6 0.239669,7 0.239669,8 1}
{0 -639,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.239669,6 0.239669,7 0.247934,8 1}
{0 -685,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.294118,6 0.243697,7 0.218487,8 1}
{0 -787,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.228814,6 0.20339,7 0.271186,8 1}
{0 -741,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.254237,6 0.169492,7 0.29661,8 1}
{0 -729,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.220339,6 0.194915,7 0.29661,8 1}
{0 -713,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.194915,6 0.194915,7 0.29661,8 1}
{0 -700,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.211864,6 0.20339,7 0.288136,8 1}
{0 -790,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.201681,6 0.193277,7 0.294118,8 1}
{0 -749,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.201681,6 0.201681,7 0.294118,8 1}
{0 -727,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.271186,6 0.20339,7 0.271186,8 1}
{0 -651,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.237288,6 0.20339,7 0.279661,8 1}
{0 -752,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.226891,6 0.201681,7 0.277311,8 1}
{0 -820,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.2,6 0.208333,7 0.291667,8 1}
{0 -775,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.233333,6 0.208333,7 0.275,8 1}
{0 -701,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.233333,6 0.25,7 0.241667,8 1}
{0 -637,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.216667,6 0.233333,7 0.275,8 1}
{0 -723,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -658,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.258333,6 0.216667,7 0.241667,8 1}
{0 -790,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.2,6 0.2,7 0.291667,8 1}
{0 -738,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.225,6 0.225,7 0.275,8 1}
{0 -763,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.2,6 0.233333,7 0.266667,8 1}
{0 -718,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.233333,6 0.233333,7 0.266667,8 1}
{0 -683,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.225,6 0.258333,7 0.233333,8 1}
{0 -799,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.2,6 0.216667,7 0.275,8 1}
{0 -789,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.2,6 0.208333,7 0.266667,8 1}
{0 -716,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.216667,6 0.225,7 0.25,8 1}
{0 -702,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.231405,6 0.231405,7 0.247934,8 1}
{0 -815,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.198347,6 0.206612,7 0.280992,8 1}
{0 -737,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.191667,6 0.2,7 0.291667,8 1}
{0 -887,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.227642,6 0.146341,7 0.300813,8 1}
{0 -717,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.258333,6 0.225,7 0.233333,8 1}
{0 -780,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.233333,6 0.216667,7 0.25,8 1}
{0 -694,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.211864,6 0.220339,7 0.271186,8 1}
{0 -833,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.186441,6 0.177966,7 0.313559,8 1}
{0 -754,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.220339,6 0.228814,7 0.262712,8 1}
{0 -814,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -578,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.266667,6 0.233333,7 0.258333,8 1}
{0 -690,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.275,6 0.241667,7 0.225,8 1}
{0 -823,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.193277,6 0.168067,7 0.310924,8 1}
{0 -969,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.141732,6 0.141732,7 0.338583,8 1}
{0 -819,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.226891,6 0.226891,7 0.260504,8 1}
{0 -701,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.254237,6 0.237288,7 0.237288,8 1}
{0 -764,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.220339,6 0.220339,7 0.262712,8 1}
{0 -733,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.211864,6 0.194915,7 0.29661,8 1}
{0 -673,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.228814,6 0.220339,7 0.262712,8 1}
{0 -754,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.201681,6 0.193277,7 0.302521,8 1}
{0 -746,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.201681,6 0.176471,7 0.302521,8 1}
{0 -794,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.226891,6 0.176471,7 0.294118,8 1}
{0 -775,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.218487,6 0.201681,7 0.277311,8 1}
{0 -813,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.210084,6 0.176471,7 0.310924,8 1}
{0 -755,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.196721,6 0.155738,7 0.336066,8 1}
{0 -757,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.226891,6 0.210084,7 0.268908,8 1}
{0 -809,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.210084,6 0.176471,7 0.302521,8 1}
{0 -814,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.216667,6 0.216667,7 0.266667,8 1}
{0 -758,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.206612,6 0.239669,7 0.264463,8 1}
{0 -767,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.225,6 0.233333,7 0.258333,8 1}
{0 -770,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.235294,6 0.201681,7 0.277311,8 1}
{0 -704,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.243697,6 0.235294,7 0.243697,8 1}
{0 -782,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.208333,6 0.225,7 0.266667,8 1}
{0 -709,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.225,6 0.2,7 0.283333,8 1}
{0 -669,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.275,6 0.283333,7 0.2,8 1}
{0 -845,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.216667,6 0.183333,7 0.3,8 1}
{0 -740,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.231405,6 0.239669,7 0.247934,8 1}
{0 -763,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.225,6 0.233333,7 0.25,8 1}
{0 -783,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -791,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.181818,6 0.22314,7 0.272727,8 1}
{0 -837,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.2,6 0.2,7 0.283333,8 1}
{0 -800,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -765,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.231405,6 0.214876,7 0.280992,8 1}
{0 -738,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.216667,6 0.208333,7 0.275,8 1}
{0 -828,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.180328,6 0.196721,7 0.278689,8 1}
{0 -787,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.241667,6 0.216667,7 0.25,8 1}
{0 -807,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.241667,6 0.208333,7 0.25,8 1}
{0 -775,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -810,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.177966,6 0.186441,7 0.305085,8 1}
{0 -683,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.258333,6 0.191667,7 0.266667,8 1}
{0 -714,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.275,6 0.233333,7 0.233333,8 1}
{0 -776,1 118,2 0.235294,3 0.226891,4 0.260504,5 0.228814,6 0.20339,7 0.271186,8 1}
{0 -724,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.204918,6 0.204918,7 0.311475,8 1}
{0 -1010,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.198413,6 0.166667,7 0.31746,8 1}
{0 -705,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.247934,6 0.239669,7 0.239669,8 1}
{0 -656,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.239669,6 0.239669,7 0.247934,8 1}
{0 -702,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.294118,6 0.243697,7 0.218487,8 1}
{0 -804,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.228814,6 0.20339,7 0.271186,8 1}
{0 -758,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.254237,6 0.169492,7 0.29661,8 1}
{0 -746,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.220339,6 0.194915,7 0.29661,8 1}
{0 -730,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.194915,6 0.194915,7 0.29661,8 1}
{0 -717,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.211864,6 0.20339,7 0.288136,8 1}
{0 -807,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.201681,6 0.193277,7 0.294118,8 1}
{0 -766,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.201681,6 0.201681,7 0.294118,8 1}
{0 -744,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.271186,6 0.20339,7 0.271186,8 1}
{0 -668,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.237288,6 0.20339,7 0.279661,8 1}
{0 -769,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.226891,6 0.201681,7 0.277311,8 1}
{0 -837,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.2,6 0.208333,7 0.291667,8 1}
{0 -792,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.233333,6 0.208333,7 0.275,8 1}
{0 -718,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.233333,6 0.25,7 0.241667,8 1}
{0 -654,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.216667,6 0.233333,7 0.275,8 1}
{0 -740,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -675,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.258333,6 0.216667,7 0.241667,8 1}
{0 -807,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.2,6 0.2,7 0.291667,8 1}
{0 -755,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.225,6 0.225,7 0.275,8 1}
{0 -780,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.2,6 0.233333,7 0.266667,8 1}
{0 -735,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.233333,6 0.233333,7 0.266667,8 1}
{0 -700,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.225,6 0.258333,7 0.233333,8 1}
{0 -816,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.2,6 0.216667,7 0.275,8 1}
{0 -806,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.2,6 0.208333,7 0.266667,8 1}
{0 -733,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.216667,6 0.225,7 0.25,8 1}
{0 -719,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.231405,6 0.231405,7 0.247934,8 1}
{0 -832,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.198347,6 0.206612,7 0.280992,8 1}
{0 -754,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.191667,6 0.2,7 0.291667,8 1}
{0 -904,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.227642,6 0.146341,7 0.300813,8 1}
{0 -734,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.258333,6 0.225,7 0.233333,8 1}
{0 -797,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.233333,6 0.216667,7 0.25,8 1}
{0 -711,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.211864,6 0.220339,7 0.271186,8 1}
{0 -850,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.186441,6 0.177966,7 0.313559,8 1}
{0 -771,1 118,2 0.218487,3 0.218487,4 0.268908,5 0.220339,6 0.228814,7 0.262712,8 1}
{0 -831,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -595,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.266667,6 0.233333,7 0.258333,8 1}
{0 -707,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.275,6 0.241667,7 0.225,8 1}
{0 -840,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.193277,6 0.168067,7 0.310924,8 1}
{0 -986,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.141732,6 0.141732,7 0.338583,8 1}
{0 -613,1 121,2 0.272727,3 0.231405,4 0.239669,5 0.239669,6 0.231405,7 0.239669,8 1}
{0 -735,1 119,2 0.272727,3 0.231405,4 0.239669,5 0.201681,6 0.201681,7 0.285714,8 1}
{0 -643,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -692,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.220339,6 0.20339,7 0.288136,8 1}
{0 -657,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.245763,6 0.20339,7 0.254237,8 1}
{0 -652,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.228814,6 0.194915,7 0.288136,8 1}
{0 -687,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -690,1 119,2 0.272727,3 0.231405,4 0.239669,5 0.218487,6 0.176471,7 0.310924,8 1}
{0 -726,1 119,2 0.272727,3 0.231405,4 0.239669,5 0.218487,6 0.168067,7 0.294118,8 1}
{0 -625,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.237288,6 0.228814,7 0.254237,8 1}
{0 -670,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.228814,6 0.211864,7 0.262712,8 1}
{0 -601,1 119,2 0.272727,3 0.231405,4 0.239669,5 0.252101,6 0.243697,7 0.243697,8 1}
{0 -667,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.225,6 0.216667,7 0.266667,8 1}
{0 -721,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.191667,6 0.208333,7 0.291667,8 1}
{0 -622,1 119,2 0.272727,3 0.231405,4 0.239669,5 0.235294,6 0.252101,7 0.243697,8 1}
{0 -650,1 121,2 0.272727,3 0.231405,4 0.239669,5 0.198347,6 0.272727,7 0.22314,8 1}
{0 -572,1 119,2 0.272727,3 0.231405,4 0.239669,5 0.210084,6 0.210084,7 0.277311,8 1}
{0 -662,1 119,2 0.272727,3 0.231405,4 0.239669,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -652,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -628,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.225,6 0.191667,7 0.291667,8 1}
{0 -666,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.233333,6 0.233333,7 0.25,8 1}
{0 -672,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -576,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.25,6 0.225,7 0.266667,8 1}
{0 -702,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.2,6 0.225,7 0.266667,8 1}
{0 -738,1 121,2 0.272727,3 0.231405,4 0.239669,5 0.173554,6 0.231405,7 0.280992,8 1}
{0 -643,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.2,6 0.225,7 0.266667,8 1}
{0 -630,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.208333,6 0.216667,7 0.266667,8 1}
{0 -745,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.208333,6 0.208333,7 0.266667,8 1}
{0 -674,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.225,6 0.216667,7 0.275,8 1}
{0 -588,1 121,2 0.272727,3 0.231405,4 0.239669,5 0.239669,6 0.239669,7 0.239669,8 1}
{0 -684,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.233333,6 0.2,7 0.266667,8 1}
{0 -656,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.25,6 0.225,7 0.25,8 1}
{0 -719,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.241667,6 0.208333,7 0.25,8 1}
{0 -722,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.194915,6 0.186441,7 0.305085,8 1}
{0 -718,1 118,2 0.272727,3 0.231405,4 0.239669,5 0.20339,6 0.211864,7 0.271186,8 1}
{0 -702,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.216667,6 0.225,7 0.258333,8 1}
{0 -730,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.225,6 0.225,7 0.258333,8 1}
{0 -660,1 120,2 0.272727,3 0.231405,4 0.239669,5 0.275,6 0.216667,7 0.241667,8 1}
{0 -689,1 119,2 0.272727,3 0.231405,4 0.239669,5 0.193277,6 0.176471,7 0.302521,8 1}
{0 -885,1 121,2 0.272727,3 0.231405,4 0.239669,5 0.169355,6 0.120968,7 0.346774,8 1}
{0 -666,1 121,2 0.247934,3 0.239669,4 0.239669,5 0.239669,6 0.231405,7 0.239669,8 1}
{0 -767,1 119,2 0.247934,3 0.239669,4 0.239669,5 0.201681,6 0.201681,7 0.285714,8 1}
{0 -682,1 118,2 0.247934,3 0.239669,4 0.239669,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -731,1 118,2 0.247934,3 0.239669,4 0.239669,5 0.220339,6 0.20339,7 0.288136,8 1}
{0 -696,1 118,2 0.247934,3 0.239669,4 0.239669,5 0.245763,6 0.20339,7 0.254237,8 1}
{0 -691,1 118,2 0.247934,3 0.239669,4 0.239669,5 0.228814,6 0.194915,7 0.288136,8 1}
{0 -726,1 118,2 0.247934,3 0.239669,4 0.239669,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -737,1 119,2 0.247934,3 0.239669,4 0.239669,5 0.218487,6 0.176471,7 0.310924,8 1}
{0 -781,1 119,2 0.247934,3 0.239669,4 0.239669,5 0.218487,6 0.168067,7 0.294118,8 1}
{0 -663,1 118,2 0.247934,3 0.239669,4 0.239669,5 0.237288,6 0.228814,7 0.254237,8 1}
{0 -709,1 118,2 0.247934,3 0.239669,4 0.239669,5 0.228814,6 0.211864,7 0.262712,8 1}
{0 -640,1 119,2 0.247934,3 0.239669,4 0.239669,5 0.252101,6 0.243697,7 0.243697,8 1}
{0 -722,1 120,2 0.247934,3 0.239669,4 0.239669,5 0.225,6 0.216667,7 0.266667,8 1}
{0 -788,1 120,2 0.247934,3 0.239669,4 0.239669,5 0.191667,6 0.208333,7 0.291667,8 1}
{0 -661,1 119,2 0.247934,3 0.239669,4 0.239669,5 0.235294,6 0.252101,7 0.243697,8 1}
{0 -717,1 121,2 0.247934,3 0.239669,4 0.239669,5 0.198347,6 0.272727,7 0.22314,8 1}
{0 -634,1 119,2 0.247934,3 0.239669,4 0.239669,5 0.210084,6 0.210084,7 0.277311,8 1}
{0 -717,1 119,2 0.247934,3 0.239669,4 0.239669,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -707,1 120,2 0.247934,3 0.239669,4 0.239669,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -703,1 120,2 0.247934,3 0.239669,4 0.239669,5 0.225,6 0.191667,7 0.291667,8 1}
{0 -721,1 120,2 0.247934,3 0.239669,4 0.239669,5 0.233333,6 0.233333,7 0.25,8 1}
